# French-English dictionary created from OmegaWiki database
# Created on: 2011-03-22T11:10:01+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADN ; acide désoxyribonucléique	DNA ; deoxyribonucleic acid
ANASE	ASEAN ; Association of Southeast Asian Nations
Abidjan	Abidjan
Abkhazie	Abkhazia
Abuja	Abuja
Adélaïde	Adelaide
Afghanistan	Afghanistan ; Transitional Islamic State of Afghanistan
Afrique	Africa
Afrique Centrale ; Afrique centrale	Central Africa
Afrique de l'Est	East Africa
Afrique du Nord	North Africa
Afrique du Sud ; République d’Afrique du Sud ; République sud-africaine	South Africa
Agence européenne pour l'environnement	European Environment Agency
Aigle	Aquila
Albanie ; République d’Albanie	Albania ; Republic of Albania
Algérie ; République algérienne démocratique et populaire	Algeria ; People's Democratic Republic of Algeria
Allemagne	Germany ; Federal Republic of Germany
Alpes	Alps
Amsterdam	Amsterdam
Amérique Centrale	Central America
Amérique du Nord	North America
Amérique du Sud	South America
Andorre	Andorra ; Principality of Andorra
Angleterre	England
Angola	Angola ; Republic of Angola
Anguilla	Anguilla
Antarctique	Antarctica
Antigua-et-Barbuda	Antigua and Barbuda
Arabie saoudite ; Arabie Saoudite ; Arabie Séoudite ; Arabie séoudite	Saudi Arabia ; Kingdom of Saudi Arabia
Argentine	Argentina ; Argentine Republic
Arizona	Arizona
Arménie ; République d'Arménie	Armenia
Aruba	Aruba
Asie	Asia
Asie Centrale	Central Asia
Asie de l'Est ; Asie orientale	Eastern Asia ; East Asia
Asie de l'Ouest ; Asie occidentale	Western Asia ; Southwest Asia
Asie du Sud	Southern Asia ; South Asia
Asie du Sud-Est	Southeast Asia
Asteraceae	Asteraceae ; sunflower family ; Compositae ; daisy family ; aster family
Athènes	Athens
Australie	Australia ; Commonwealth of Australia
Autriche	Austria ; Republic of Austria
Autriche-Hongrie ; Empire austro-hongrois	Austria-Hungary ; Austro-Hungarian Empire
Azerbaïdjan	Azerbaijan ; Republic of Azerbaijan
Bahamas	Bahamas ; Commonwealth of the Bahamas ; Bahama Islands
