# Swedish-English dictionary created from English Wiktionary
# Created on: 2011-03-24T07:47:47+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Sofia'''	Sofia
''expressed by nominalization	one
(''spicy'') chilipeppar	pepper
(Forna Jugoslaviska Republiken) Makedonien	Macedonia
(Jesus Kristus	Christ
(de) sju dödssynderna	seven deadly sins
(det) periodiska systemet	periodic table
(ett) predikat	predicate
(grodyngel	tadpole
(låta) bero	leave
-bar	-ible
-het	-ity
-ism	-ism
-logi	-logy
-s	of
Aaron	Aaron
Abbe	Abraham
Abel	Abel
Abidjan	Abidjan
Abraham	Abraham
Abu Dhabi	Abu Dhabi
Adam	Adam
Adam och Eva	Adam and Eve
Adde	Adam
Aden	Aden
Adolf	Adolf
Adolf	Adolph
Adrian	Adrian
Afghanistan	Afghanistan
Agata	Agatha
Agnes	Agnes
Aischylos	Aeschylus
Akilles	Achilles
Akilleshäl	Achilles heel
Akropolis	Acropolis
Al-Andalus	Al-Andalus
Alaska	Alaska
Alban	Alban
Albanien	Albania
Albert	Albert
Albin	Albin
Alexander	Alexander
Alfons	Alphonse
Alfred	Alfred
Alger	Algiers
Algeriet	Algeria
Allah	Allah
Allan	Alan
Alperna	Alps
Alzheimers sjukdom	Alzheimer's disease
Amerika	America
Amerikanska Samoa	American Samoa
Amerikas förenade stater	United States of America
Amor	Cupid
Amsterdam	Amsterdam
Anders	Andrew
Andorra	Andorra
Andra världskriget	World War II
Angola	Angola
Ankara	Ankara
Anna	Ann
Antarktis	Antarctica
Antigua och Barbuda	Antigua and Barbuda
Anton	Anthony
Apuleius	Apuleius
Archangelsk	Arkhangelsk
Ares	Ares
Argentina	Argentina
Armenien	Armenia
Artur	Arthur
Aruba	Aruba
Asien	Asia
Askungen	Cinderella
Aten	Athens
Athena	Athena
Atlanten	Atlantic Ocean
Australien	Australia
Ayers Rock	Ayers Rock
Ayers Rock	Uluru
Azerbajdzjan	Azerbaijan
BNP	GDP
Bahamas	Bahamas
Bahrain	Bahrain
Balearerna	Balearic Islands
Bali	Bali
Bangladesh	Bangladesh
Barbados	Barbados
Barbro	Barbara
Beijing	Beijing
Beirut	Beirut
Belgien	Belgium
Belize	Belize
Benin	Benin
Berings hav	Bering Sea
Berlin	Berlin
Bermuda	Bermuda
Betlehem	Bethlehem
Bhutan	Bhutan
Bibel	Bible
Bitola	Monastir
Bolivia	Bolivia
Bologna	Bologna
Bosnien	Bosnia
Bosnien och Hercegovina	Bosnia and Herzegovina
Bosporen	Bosphorus
Botswana	Botswana
Bottniska viken	Gulf of Bothnia
Brasilien	Brazil
Brasilien	Brasil
Bratislava	Bratislava
Bretagne	Brittany
Bretagniska	Breton
Bronsåldern	Bronze Age
Brunei	Brunei
Bryssel	Brussels
Buddha	Buddha
Bukarest	Bucharest
Bulgarien	Bulgaria
Burgund	Burgundy
Burkina Faso	Burkina Faso
Burma	Burma
Burundi	Burundi
Byrålåda	drawer
Bysantinska riket	Byzantine Empire
Böhmen	Bohemia
Centralafrikanska republiken	Central African Republic
Checheno	Chechen
Cheddar	Cheddar cheese
Chennai	Chennai
Cheopspyramiden	Great Pyramid of Giza
Chile	Chile
Chrusjtjov	Khrushchev
Coca-Cola	Coca-Cola
Colombia	Columbia
Colombia	Colombia
Comorerna	Comoros
Cooköarna	Cook Islands
Costa Rica	Costa Rica
Cypern	Cyprus
Damaskus	Damascus
Daniel	Daniel
Danmark	Denmark
David	David
Demokritos	Democritus
Djibouti	Djibouti
Dominica	Dominica
Dominikanska republiken	Dominican Republic
Domkraft	jack
Donau	Danube
Dorisk	Doric
Dublin	Dublin
Dubrovnik	Dubrovnik
Döda havet	Dead Sea
Ecuador	Ecuador
Edvard	Edward
Egeiska havet	Aegean Sea
Egypten	Egypt
Ekvatorialguinea	Equatorial Guinea
El Salvador	El Salvador
Elfenbenskusten	Ivory Coast
Elisabet	Elizabeth
Emilia	Emily
England	England
Epirus	Epirus
Erik	Eric
Eritrea	Eritrea
Ernst	Ernest
Ester	Esther
Estland	Estonia
Etiopien	Ethiopia
Euripides	Euripides
Europa	Europe
Europeiska	EU
Europeiska centralbanken	European Central Bank
Europeiska unionen	European Union
Falklandsöarna	Falkland Islands
Fez, Fes	Fez
Fiji	Fiji
Filip	Philip
Filippinerna	Philippines
Finland	Finland
Finska viken	Gulf of Finland
Fiskarna	Pisces
Flandern	Flanders
Fomalhaut	Fomalhaut
Fr	Mrs
Frankrike	France
Frans	Francis
Franska Guyana	French Guiana
Fröken	Miss
Färöarna	Faroe Islands
Förenade Arabemiraten	United Arab Emirates
Förenta nationerna	United Nations
Första Moseboken	Genesis
Första världskriget	World War I
Gabon	Gabon
Galizien	Galicia
Gambia	Gambia
Ganesha	Ganesha
Ganges	Ganges
Gasell	gazelle
Genua	Genoa
Genève	Geneva
Georg	George
Georgien	Georgia
Ghana	Ghana
Gibraltar	Gibraltar
Glasgow	Glasgow
God Jul och Gott Nytt År	Merry Christmas and a Happy New Year!
Golden Gate-bron	Golden Gate Bridge
Grekland	Greece
Grenada	Grenada
Grönland	Greenland
Guadeloupe	Guadeloupe
Guam	Guam
Guatemala	Guatemala
Gud	God
Gudinna	Goddess
Guernsey	Guernsey
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Gujarati	Gujarati
Gula havet	Yellow Sea
Guyana	Guyana
HTML-färger	web colors
Haag	The Hague
Haiti	Haiti
Hapsal	Haapsalu
Harmagedon	Armageddon
Havanna	Havana
Helena	Helen
Helsingfors	Helsinki
Henrik	Henry
Herodotos	Herodotus
Hesiodos	Hesiod
Hippokrates	Hippocrates
Hizbollah	Hezbollah
Holland	Holland
Honduras	Honduras
Hr	Mr
Hubbles lag	Hubble constant
Indien	India
Indiens historia: Indus-Sarasvati	Indus Valley Civilization
Indiska oceanen	Indian Ocean
Indones	Indonesian
Indonesien	Indonesia
Internetprotokoll	Internet Protocol
Irak	Iraq
Iran	Iran
Irene	Irene
Irland	Ireland
Isak	Isaac
Island	Iceland
Ismael	Ishmael
Israel	Israel
Italien	Italy
Jag älskar dig	I love you
Jainism	Jainism
Jakob	James
Jakob	Jacob
Jalalabad	Jalalabad
Jamaica	Jamaica
Janus	Janus
Japan	Japan
Jehovas vittne	Jehovah's Witnesses
Jehovas vittnen	Jehovah's Witnesses
Jeremia	Jeremiah
Jerusalem	Jerusalem
Jesaja	Isaiah
Jesus	Jesus
Jiddisch	Yiddish
