# French-English dictionary created from English Wiktionary
# Created on: 2011-03-23T11:21:30+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Mickey Mouse'''	Mickey Mouse
'''Rangoon''' (or Rangoun	Rangoon
'''Sofia'''	Sofia
'''radio'''	radio
''Use the future form of the verb that follows; in colloquial speech, use verb "to go" as auxiliar + infinitive''	will
''expressed by nominalization	one
''no equivalent''	after
''no generic translation exists''; noix	nut
''not translated; use the equivalent simple tense, or the imperfect in the past''	be
''translated by avoir	old
(''France, Quebec, Luxembourg'') soixante-dix	seventy
(''after preposition'')	him
(''after preposition'')	us
(''after preposition'') elle	her
(''of a man'') éjaculer	ejaculate
(''person'') gentil	nice
(''small, such as a cricket ball'') balle	ball
(''spicy'') piment	pepper
(''thing, person'') haut	tall
(1): roux	redhead
(1, 2): Zurich	Zürich
(1, 2): quelque part	somewhere
(28978) Ixion	Ixion
(la planète	Mercury
(ordinateur	laptop
(se) baigner	bathe
(se) hâter	hurry
(très	hot
-er	to
-ible	-ible
-isme	-ism
-ité	-ity
-logie	-logy
:fr:physique	physics
ADN	DNA
Aaron	Aaron
Abel	Abel
Abidjan	Abidjan
Abraham	Abraham
Abu Dhabi	Abu Dhabi
Achille	Achilles
Acropole	Acropolis
Adam	Adam
Adam et Ève	Adam and Eve
Adamo	Adam
Addis-Abeba	Addis Ababa
Aden	Aden
Adolphe	Adolf
Adolphe	Adolph
Adrien	Adrian
Adélaïde	Adelaide
Afghan	Afghan
Afghanistan	Afghanistan
Afrique du Sud	South Africa
Agathe	Agatha
Agnès	Agnes
Aix-la-Chapelle	Aachen
Al-Andalus	Al-Andalus
Al-Qaida	al-Qaeda
Alain	Alan
Alaska	Alaska
Alban	Alban
Albanais	Albanian
Albanie	Albania
Albert	Albert
Albin	Albin
Alexandre	Alexander
Alfred	Alfred
Alger	Algiers
Algérie	Algeria
Alice	Alice
Allah	Allah
Allemagne	Germany
Allemagne de l'Est	East Germany
Allemand	German
Alpes	Alps
Alphonse	Alphonse
Amsterdam	Amsterdam
Américain	American
Amérique	America
Amérique du Nord	North America
Amérique du Sud	South America
Andalousie	Andalusia
Andorre	Andorra
André	Andrew
Anglais	English
Anglais	Englishman
Angleterre	England
Angola	Angola
Ankara	Ankara
Anne	Ann
Antarctique	Antarctica
Antigua-et-Barbuda	Antigua and Barbuda
Antilope	antelope
Antoine	Anthony
Anvers	Antwerp
Apocalypse	Revelation
Apulée	Apuleius
Arabe	Arab
Arabie Saoudite	Saudi Arabia
Argentin	Argentinian
Argentine	Argentina
Arkhangelsk	Arkhangelsk
Armageddon	Armageddon
Armand	Herman
Arménie	Armenia
Arménien	Armenian
Arthur	Arthur
Aruba	Aruba
Arès	Ares
Asie	Asia
Athènes	Athens
Athéna	Athena
Auguste	Augustus
Australie	Australia
Australien	Australian
Autriche	Austria
Autrichien	Austrian
Ayers Rock	Ayers Rock
Ayers Rock	Uluru
Ayyavazhi	Ayyavazhi
Azerbaïdjan	Azerbaijan
Azerbaïdjanais	Azeri
Bactriane	Bactria
Bagdad	Baghdad
Bahamas ''f pl''	Bahamas
Bahreïn	Bahrain
Balance	Libra
Bali	Bali
Bangladesh	Bangladesh
Banque centrale européenne	European Central Bank
Barbade	Barbados
Basque	Basque
Bavière	Bavaria
Belau	Palau
Belge	Belgian
Belgique	Belgium
Belgrade	Belgrade
Belize	Belize
Berlin	Berlin
Bermudes	Bermuda
Bernache du Canada	Canada goose
Bethléem	Bethlehem
Beyrouth	Beirut
Bhoutan	Bhutan
Bible	Bible
Birmanie	Burma
Bisounours	Care Bears
Bitola	Monastir
Biélorusse	Belarusian
Biélorussie	Belarus
Blanche-Neige	Snow White
Bogota	Bogota
Bolivie	Bolivia
Bologne	Bologna
Bosnie	Bosnia
Bosnie-Herzégovine	Bosnia and Herzegovina
Bosphore	Bosphorus
Botswana	Botswana
Bouddha	Buddha
Bourgogne	Burgundy
Bratislava, Pressbourg	Bratislava
Bretagne	Brittany
Breton	Breton
Brunei	Brunei
Bruxelles	Brussels
Brésil	Brazil
Brésil	Brasil
Brésilien	Brazilian
Bucarest	Bucharest
Bulgare	Bulgarian
Bulgarie	Bulgaria
Burkina Faso	Burkina Faso
Burundi	Burundi
Bélier	Aries
Bénin	Benin
CEI	CIS
CQFD	QED
Cadre	frame
Calcul des variations	calculus of variations
Californie	California
Cambodge	Cambodia
Cameroun	Cameroon
Canada	Canada
Canadien	Canadian
Canal de Suez	Suez Canal
Cancer	Cancer
Cap-Vert	Cape Verde
Capitole	capitol
Carcasse	carcass
Catalogne	Catalonia
Catherine	Catherine
Caucase	Caucasus
Celte	Celt
Cendrillon	Cinderella
Charles	Charles
Chaux	lime
Chennai	Chennai
Chili	Chile
Chine	China
Chinois	Chinese
Chiraz	Shiraz
Christ	Christ
Christianisme	Christianity
Christophe	Christopher
Chypre	Cyprus
Civilisation de la vallée de l'Indus	Indus Valley Civilization
Cléopâtre	Cleopatra
Coca-Cola	Coca-Cola
Coccinelle	beetle
Colombie	Columbia
Colombie	Colombia
Colosse de Rhodes	Colossus of Rhodes
Comment allez-vous	how are you
Comment vous appelez-vous	what is your name
Comment vous appellez-vous	what's your name
Communauté des États indépendants	Commonwealth of Independent States
Comores	Comoros
Congo	Congo
Constantin	Constantine
Constantinople	Constantinople
Copenhague	Copenhagen
Corée	Korea
Corée du Nord	North Korea
Corée du Sud	South Korea
Coréen	Korean
Costa Rica	Costa Rica
Croate	Croatian
Croatie	Croatia
Crète	Crete
Cuba	Cuba
Cupidon	Cupid
Côte d'Ivoire	Ivory Coast
Damas	Damascus
Danemark	Denmark
Daniel	Daniel
Danois	Dane
Danube	Danube
David	David
Dictionnaire des synonymes	thesaurus
Dieu	God
Djibouti	Djibouti
Dominique	Dominica
Dorique	Doric
Dublin	Dublin
Dubrovnik	Dubrovnik
Décalogue	Ten Commandments
Déesse	Goddess
Démocrite	Democritus
EUA	USA
Empire byzantin	Byzantine Empire
Empire romain	Roman Empire
Eschyle	Aeschylus
Espagne	Spain
Esther	Esther
Estonie	Estonia
Estonien	Estonian
Euripide	Euripides
Europe	Europe
Europe centrale	Central Europe
Europe de l'Est	Eastern Europe
Europe de l'Ouest	Western Europe
Europe du Nord	Northern Europe
Europe du Sud	Southern Europe
Européen	European
Exode	Exodus
Extinction des espèces	extinction
Factorielle	factorial
Fidji	Fiji
Finlande	Finland
Finnois	Finn
Fomalhaut	Fomalhaut
France	France
François	Francis
Frison	Frisian
Fromage Cheddar	Cheddar cheese
Fès	Fez
Fédération Russe	Russian Federation
Gabon	Gabon
Gambie	Gambia
Ganesh	Ganesha
Gange	Ganges
Genèse	Genesis
Genève	Geneva
Georges	George
Georgetown	Georgetown
Gestion des ressources humaines	Human Resource Management
Ghana	Ghana
Gibraltar	Gibraltar
Glasgow	Glasgow
Golfe de Botnie	Gulf of Bothnia
Golfe de Rīga	Gulf of Riga
Grande-Bretagne	Great Britain
Grenade	Grenada
Groenland	Greenland
Grèce	Greece
Guadeloupe	Guadeloupe
Guam	Guam
Guatemala	Guatemala
Guernesey	Guernsey
Guide suprême	Supreme Leader
Guillaume	William
Guinée	Guinea
Guinée équatoriale	Equatorial Guinea
Guinée-Bissao	Guinea-Bissau
Guyana	Guyana
Guyane française	French Guiana
Gémeaux	Gemini
Géorgie	Georgia
Géorgien	Georgian
Gênes	Genoa
Hanoucca	Hanukkah
Hawaii	Hawaii
Haïti	Haiti
Henri	Henry
Hezbollah	Hezbollah
Hindouisme	Hinduism
Hippocrate	Hippocrates
Hollande	Holland
Honduras	Honduras
Hongkong	Hong Kong
Hongrie	Hungary
Hongrois	Hungarian
Hébreu	Hebrew
Hélène	Helen
Hérodote	Herodotus
Hésiode	Hesiod
Ile Norfolk	Norfolk Island
Iles Svalbard et Jan Mayen	Svalbard and Jan Mayen Islands
Inde	India
Indien	Indian
Indonésie	Indonesia
Indonésien	Indonesian
Interlingua	Interlingua
Internet	Internet
Iran	Iran
Iraq	Iraq
Iraquien	Iraqi
Irlandais	Irish
Irlande	Ireland
Irène	Irene
Isaac	Isaac
Islam	Islam
Islande	Iceland
Ismaël	Ishmael
Israélien	Israeli
Israël	Israel
Istanbul	Istanbul
Italie	Italy
Italien	Italian
Ixion	Ixion
Jacob	Jacob
Jacques	James
Jacques	Jacob
Jalalabad	Jalalabad
Jamaïque	Jamaica
Janus	Janus
Japonais	Japanese
Jaïnisme	Jainism
Je suis amoureux de toi	I'm in love with you
Je t'aime	I love you
Jean	John
Jeanne	Jane
Jeux Olympiques	Olympic Games
Jeux Olympiques d'hiver	Olympic Winter Games
Jordanie	Jordan
Joseph	Joseph
Jourdain	Jordan
Joyeux Noël et bonne année	Merry Christmas and a Happy New Year!
Judaïsme	Judaism
Julie	Julia
Juliette	Juliet
Justin	Justin
Jéhovah	Jehovah
Jérusalem	Jerusalem
Jésus	Jesus
Jésus-Christ	Jesus Christ
Ka'ba	Caaba
Kaboul	Kabul
Karlovac	Karlovac
Kazakhstan	Kazakhstan
Kenya	Kenya
Khartoum	Khartoum
Khrouchtchev	Khrushchev
Kiev	Kiev
Kirghizistan	Kyrgyzstan
Kiribati	Kiribati
Kohtla-Järve	Kohtla-Järve
Kosovo	Kosovo
Koweït	Kuwait
Kurdistan	Kurdistan
Kyōto	Kyoto
Kâlî	Kali
L'Odyssée	Odyssey
L'herbe est toujours plus verte dans le pré du voisin	the grass is always greener on the other side
La Belle au bois dormant	Sleeping Beauty
La Havane	Havana
La Haye	The Hague
La Mecque	Mecca
La plante	sole
Laos	Laos
Laotien	Lao
Laotien	Laotian
Laure	Laura
Laurent	Laurence
Le Caire	Cairo
Le Cap	Cape Town
Le Petit Châpeau Rouge	Little Red Riding Hood
Lesotho	Lesotho
Letton	Latvian
Lettonie	Latvia
Liban	Lebanon
Liberia	Liberia
Libye	Libya
Liechtenstein	Liechtenstein
Lion	Leo
Lisbonne	Lisbon
Lithuanien	Lithuanian
Lituanie	Lithuania
Liverpool	Liverpool
Lombardie	Lombardy
London	London
Londres	London
Louis	Louis
Luc	Luke
Lucien de Samosate	Lucian
Luxembourg	Luxembourg
M	Mr
Macroéconomie	macroeconomics
Macédoine	Macedonia
Macédonien	Macedonian
Madagascar	Madagascar
Mademoiselle	Miss
Madrid	Madrid
Maison Blanche	White House
Majorque	Majorca
Malaisie	Malaysia
Malawi	Malawi
Maldives ''f pl''	Maldives
Mali	Mali
Malouines	Falkland Islands
Malte	Malta
Manitoba	Manitoba
Marc	Mark
Marguerite	Margaret
Marie	Mary
Maroc	Morocco
Mars	Mars
Marthe	Martha
Martien	Martian
Martin	Martin
Martinique	Martinique
Mascate	Muscat
Mathieu	Matthew
Maurice	Mauritius
Mauritanie	Mauritania
Mayotte	Mayotte
McDonald’s	McDonald's
Mer Caspienne	Caspian Sea
Mer Mediterranée	Mediterranean Sea
Mer Morte	Dead Sea
Mer d'Irlande	Irish Sea
Mer de Béring	Bering Sea
Mer du Nord	North Sea
Mer Égée	Aegean Sea
Mercure	Mercury
Meuse	Meuse
Mexico	Mexico City
Mexico	Mexico
Mexique	Mexico
Michel	Michael
Michée	Micah
Micronésie	Micronesia
Milan	Milan
Minorque	Minorca
Mississippi	Mississippi
Missouri	Missouri
Mme	Mrs
Mokcha	Moksha
Moldavie	Moldova
Moldu	Muggle
Monaco	Monaco
Mongol	Mongolian
Mongolie	Mongolia
Moscou	Moscow
Moyen-Orient	Middle East
Mozambique	Mozambique
Moïse	Moses
Munich	Munich
Munténie	Muntenia
Muse	Muse
Muse	muse
Myanmar, Birmanie	Myanmar
Myriam	Miriam
Mécanique	mechanics
Nagykanizsa	Nagykanizsa
Namibie	Namibia
Naples	Naples
Nauru	Nauru
Neolithique	Neolithic
Neptune	Neptune
New Jersey	New Jersey
New York	New York
New York	New York City
Nicaragua	Nicaragua
Nicolas	Nicholas
Niger	Niger
Nigeria	Nigeria
Niké	Nike
Nil	Nile
Nioué	Niue
Norvège	Norway
Norvégien	Norwegian
Notre Dame	Our Lady
Nouvelle Guinée	New Guinea
Nouvelle-Galles du Sud	New South Wales
Nouvelle-Zélande	New Zealand
Novi Sad	Novi Sad
Noé	Noah
Noël	Christmas
Nyx	Nyx
Néerlandais	Dutch
Népal	Nepal
OTAN	NATO
OVNI	UFO
Océanie	Oceania
Olténie	Oltenia
Oman	Oman
Ordre teutonique or Chevaliers Teutoniques	Teutonic Knights
Organisation des Nations unies	United Nations
Orion	Orion
Orénoque	Orinoco
Ouagadougou	Ouagadougou
Ouganda	Uganda
Ouzbékistan	Uzbekistan
Oxford	Oxford
PIB	GDP
Pakistan	Pakistan
Palestine	Palestine
Paléolithique	Paleolithic
Paléolithique	palaeolithic
Panama	Panama
Pangée	Pangaea
Papouasie-Nouvelle-Guinée	Papua New Guinea
Paraguay	Paraguay
Paris	Paris
Paris ne s'est pas fait en un jour	Rome wasn't built in a day
Paul	Paul
Pays de Galles	Wales
Pañchatantra	Panchatantra
Penjab	Punjab
Perse	Persia
Philippe	Philip
Philippines	Philippines
Pierre de Rosette	Rosetta Stone
Pline	Pliny
Plutarque	Plutarch
Pluton	Pluto
Poissons	Pisces
Pologne	Poland
Porto Rico	Puerto Rico
Portugais	Portuguese
Portugal	Portugal
Prague	Prague
Première Guerre Mondiale	World War I
Prusse	Prussia
Pythagore	Pythagoras
Pâques	Easter
Pâris	Paris
Pékin	Beijing
Périclès	Pericles
Pérou	Peru
Pôle Nord	North Pole
Pôle Sud	South Pole
Qatar	Qatar
Quidditch	quidditch
RSS d'Arménie	Armenian SSR
Rachel	Rachel
Rakvere	Rakvere
Ramadan	Ramadan
Rangoun	Yangon
Rhin	Rhine
Richard	Richard
Riga	Riga
Robert	Robert
Rome	Rome
Roumain	Romanian
Roumanie	Romania
Roxane	Roxanne
Royaume-Uni	United Kingdom
Rss biélorusse	Byelorussian SSR
Rss d'Azerbaïdjan	Azerbaijan SSR
Ruanda	Rwanda
Russe	Russian
Russie	Russia
République centrafricaine	Central African Republic
République de Corée	Republic of Korea
République dominicaine	Dominican Republic
République populaire de Chine	People's Republic of China
SIDA	AIDS
Sagittaire	Sagittarius
Sahara occidental	Western Sahara
Saint Empire Romain Germanique	Holy Roman Empire
Saint Nicolas	Santa Claus
Saint-Christophe-et-Niévès	Saint Kitts and Nevis
Saint-Vincent-et-Grenadines	Saint Vincent and the Grenadines
Sainte-Lucie	Saint Lucia
Salvador	El Salvador
Samoa	Samoa
Samoa américaines	American Samoa
Samosate	Samosata
Samuel	Samuel
San Francisco	San Francisco
Sarah	Sarah
Sarajevo	Sarajevo
Sardaigne	Sardinia
Scandinavie	Scandinavia
Scorpion	Scorpius
Scorpion	Scorpio
See conjugation of manger	ate
Septante	Septuagint
Serbe	Serbian
Serbe	Serb
Serbie-et-Monténégro	Serbia and Montenegro
Seychelles	Seychelles
Shanghai, Chang-hai	Shanghai
Sherlock Holmes	Sherlock Holmes
Sibérie	Siberia
Sicile	Sicily
Sierra Leone	Sierra Leone
Singapour	Singapore
Skopje, Skoplje	Skopje
Slavon	Old Church Slavonic
Slovaque	Slovak
Slovaquie	Slovakia
Slovène	Slovene
Slovénie	Slovenia
Somalie	Somalia
Sophie	Sophia
Sorabe	Sorbian
Soudan	Sudan
Sphinx	Sphinx
Spider-Man	Spider-Man
Sri Lanka	Sri Lanka
Stévia or Stévie	stevia
Sudètes	Sudeten
Suisse	Switzerland
Surinam	Suriname
