# German-English dictionary created from English Wiktionary
# Created on: 2011-03-24T07:35:12+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Rhombus'''	rhombus
''Getränk''	drink
''indicated by forming compounds with'' Papier-: '''paper bag:''' Papierbeutel	paper
(''man'') Scheißkerl	shit
(''not killing'') anschießen	shoot
(''of a man or woman'') ejakulieren	ejaculate
(''spicy'') Chili	pepper
(''thing'') hoch	tall
(1) Kunde	client
(1) Schafbock	ram
(1): Kanton Zürich	Zürich
(1)rauh	harsh
(7)de	hair
(Ehemalige Jugoslawische Republik) Mazedonien	Macedonia
(ganz) in Anspruch nehmen	absorb
(non-colored) Bleistift	pencil
(rote) Rübe	beet
(sich etwas) stellen	face
(sich) baden	bathe
(sich) sehnen	long
-bar	-ible
-ismus	-ism
-ität	-ity
-logie	-logy
28978 Ixion	Ixion
:de:Vielfraß	wolverine
AIDS	AIDS
Aal	eel
Aaron	Aaron
Aas	carcass
Abaka	abaca
Abbildung	figure
Abbruch	abortion
Abchasisch	Abkhaz
Abe	Abraham
Abel	Abel
Abend	evening
Abend	night
Abendessen	supper
Abendessen	dinner
Abenteuer	adventure
Aberglaube	superstition
Abessiv	abessive case
Abfall	garbage
Abgabe	donation
Abgabe	toll
Abidjan	Abidjan
Ablativ	ablative case
Abnahme	acceptance
Abraham	Abraham
Absinth	absinthe
Absolutes null	absolute zero
Absolutiv	absolutive case
Absorption	absorption
Abszess	abscess
Abtaster	scanner
Abtei	abbey
Abteilung	division
Abtreibung	abortion
Abtrünnigkeit	apostasy
Abu Dhabi	Abu Dhabi
Acetylen	acetylene
Achillesferse	Achilles heel
Achillessehne	Achilles' tendon
Achilleus	Achilles
Achse	axis
Achse des Bösen	axis of evil
Achselhöhle	armpit
Achteck	octagon
Achtung	respect
Actinium	actinium
Adam	Adam
Adam und Eva	Adam and Eve
Adamsapfel	Adam's apple
Addition	addition
Adelheid	Adelaide
Aden	Aden
Ader	vein
Adi	Adam
Adjektiv	adjective
Adler	eagle
Adolf	Adolph
Adresse	address
Adria	Adriatic Sea
Adrian	Adrian
Adverb	adverb
Affe	monkey
Afghane	Afghan
Afghanisch	Afghan
Afghanistan	Afghanistan
Afrika	Africa
Afrikaans	Afrikaans
Afterspinne	harvestman
Agatha	Agatha
Agnes	Agnes
Agnostizismus	agnosticism
Agoraphobie	agoraphobia
Agram	Zagreb
Aguti	agouti
Ahle	awl
Ahorn	maple
Ainu	Ainu
Aischylos	Aeschylus
Akkord	chord
Akkordeon	accordion
Akkumulator	accumulator
Akkusativ	accusative case
Akkusativ	accusative
Akrobat	acrobat
Akromegalie	acromegaly
Akronym	acronym
Akropolis	Acropolis
Akt	act
Aktie	share
Aktivität	activity
