# German-English dictionary created from OmegaWiki database
# Created on: 2011-03-24T07:33:00+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADI-Wert	acceptable daily intake
AIDS	AIDS
AMES-Test	Ames test
AOX-Wert	AOX value
ASEAN	ASEAN ; Association of Southeast Asian Nations
Abakus	abacus
Abbau	decomposition
Abbau	degradation
Abbau der Ozonschicht	ozone layer depletion
Abbau natürlicher Ressourcen ; Abbau von natürlichen Ressourcen	degradation of natural resources
Abbaubarkeit	degradability
Abbauprodukt	degradation product
Abbruchmüll	demolition waste
Abbruchunternehmen	demolition business
Abchasien	Abkhazia
Abchasisch	Abkhaz ; Abkhazian ; Abkhazian
Abdeckung ; Deckung	covering ; roofing
Abenteuer	adventure
Abfackelung	flaring
Abfall ; Müll ; Unrat	waste
Abfallablagerung	waste dump
Abfallablagerung ; Abfallablagerung ; unkontrollierte Deponierung ; wilde Müllbeseitigung	dumping
Abfallbehälter	waste bin
Abfallbeseitigungsgesetz	waste disposal act
Abfallsanierung ; Abfallsanierungsmüll	pollution abatement waste
Abfallverbrennung	incineration of waste
Abflussregime	discharge regime
Abgabe	levy
Abgabe ; Spende ; Zuwendung	donation
Abgas ; Abgase ; Auspuffgas	exhaust gas
Abgasentstickung	denitrification of waste gas
Abgaskatalysator	catalytic converter
Abgrabung ; Erdarbeiten ; Grabung ; Ausgrabung ; Abtragung ; Aushebung ; Grabungsarbeiten ; Erdbewegung ; Ausbaggern ; Abbaggern	excavation (process) ; excavation ; earthworks ; digging
Abgrabungshalde	excavation heap
Abidjan	Abidjan
Abkürzung ; Abbreviatur ; Kürzel	abbreviation
Ablagerung	deposition
Abolitionist	abolitionist
Abraum	overburden
Abscheider	separator
Abschirmung ; Containment ; Mantel ; Reaktormantel	containment (nuclear industry) ; containment
Abschreckung	deterrence
Abschreckungsmittel	deterrent
Absinken	subsidence
Absorption	absorption
Abszeß ; Abszess	abscess
Abuja	Abuja
Abwasser	waste water
Abwasserbehandlung vor Ort	on-site wastewater treatment
Abwasserreinigung	waste water purification
Achselhöhle	armpit
Acidität	acidity
Ackerbau	arable farming
Ackerland ; Land ; Land ; Acker ; Feld ; Ackergrund ; Anbaufläche	field ; land ; land ; acre ; patch
Ackerrandstreifen	headland
Actinium	actinium
Actinoid	actinide
Addition	addition
Addition	chemical addition
